gen,changes,best,avg,worst,best_genome
0,1,-0.765,-0.397,-0.059,"[P0] 38 25 15 9 1 38 19 17 10 34 0 36 17 18 22 40 12 40 34 19 37 19 4 26 39 25 35 12 22 39 40 12 15 8 38 15 25 27 19 18 22 40 3 40 6 41 3 24 21 7 19 18 18 1 26 3 23 3 18 10 40 2 28 23 18 7 22 34 6 37 28 10 2 23 29 38 5 1 9 35 20 39 27 41 34 8 23 8 22 32 17 32 41 31 33 22 30 1 25 10; [P1] 5 0 40 0 1 29 20 39 27 7 27 2 14 27 30 19 25 13 3 3 35 2 34 19 24 10 25 14 24 20 34 20 9 24 39 8 32 24 1 32 38 27 42 11 1 29 2 27 19 35 3 9 25 32 11 20 20 8 13 37 34 8 28 35 3 36 3 3 3 38 20 16 21 30 3 17 13 6 8 33 29 7 1 11 26 38 39 17 11 6 18 24 33 32 42 20 23 21 40 9; [P2] 41 38 29 4 1 0 1 38 8 28 39 25 37 39 4 40 36 11 4 41 38 24 21 39 5 13 18 26 31 25 33 20 24 6 27 31 18 6 23 1 42 4 28 33 33 19 17 18 7 41 27 42 40 16 13 32 7 30 16 3 29 16 22 16 10 9 3 3 6 30 18 35 22 26 3 3 30 4 11 18 8 18 7 31 34 32 11 27 18 41 18 2 36 35 42 6 37 3 4 3; [P3] 17 26 37 8 31 18 23 24 18 11 42 3 11 21 33 4 19 39 1 7 23 28 39 31 17 28 36 4 30 41 1 11 39 33 35 5 37 15 3 30 8 0 10 22 3 1 8 14 32 25 26 29 3 11 32 42 21 3 28 13 42 32 13 42 5 9 16 29 25 41 9 24 27 18 41 11 39 7 4 12 39 11 15 32 38 24 34 11 22 6 19 2 7 14 32 6 11 5 33 32; [P4] 10 0 9 32 22 12 19 3 18 6 2 40 38 14 16 16 2 19 15 6 39 9 21 38 2 24 31 12 6 31 24 38 17 18 38 20 13 39 41 34 19 2 27 9 5 42 4 11 12 9 36 29 21 18 28 40 38 25 24 30 15 30 28 13 33 2 29 32 14 8 41 27 37 10 33 21 40 13 3 41 39 0 33 29 40 20 39 14 1 26 28 23 1 16 6 27 1 0 9 17"
1,2,-0.778,-0.412,-0.071,"[P0] 8 6 32 30 35 42 7 25 16 39 33 5 10 33 42 37 9 19 22 35 4 19 13 39 35 8 9 11 24 40 22 18 29 37 34 15 23 9 38 26 16 19 14 17 30 3 30 15 14 39 36 29 27 17 37 5 30 35 11 27 38 23 41 20 9 2 36 4 18 29 37 36 35 22 27 29 40 23 14 8 42 38 35 24 23 30 18 14 25 17 22 22 23 4 32 15 11 10 25 18; [P1] 24 4 42 27 11 35 39 10 40 27 27 28 9 28 13 5 41 34 24 19 1 8 38 13 5 10 24 24 8 36 5 10 1 34 41 30 17 15 17 32 17 19 23 39 8 30 38 2 36 7 14 23 39 5 31 31 19 7 38 35 31 35 18 41 42 4 24 14 36 18 5 23 9 27 27 11 4 17 29 3 37 20 14 28 30 1 3 37 29 5 35 15 40 41 11 18 7 18 11 15; [P2] 18 37 8 39 13 32 30 14 30 0 18 21 3 21 17 38 23 30 29 8 6 7 38 0 41 41 30 22 27 35 21 22 3 25 22 14 25 24 0 41 24 13 8 1 13 5 35 40 39 5 38 37 37 23 18 22 13 31 8 2 41 1 10 0 41 9 10 14 6 35 2 15 37 14 38 33 1 8 32 10 16 1 17 25 10 4 1 14 0 19 17 27 31 25 16 32 20 3 28 40; [P3] 23 41 24 19 11 5 35 7 16 42 2 2 24 30 22 7 15 13 32 0 30 28 6 8 26 33 35 38 16 39 20 19 42 6 13 39 28 1 20 19 9 16 34 37 7 18 24 12 35 32 17 26 25 29 25 20 3 4 11 10 13 3 38 11 32 9 38 42 27 42 7 28 36 16 9 19 10 8 10 4 6 9 6 3 32 30 28 35 27 39 10 20 22 33 27 31 36 2 6 24; [P4] 28 6 1 26 7 26 6 17 19 7 26 7 33 38 6 28 17 26 35 24 21 33 33 7 29 21 12 18 35 30 39 41 35 14 0 29 27 7 32 40 34 17 0 30 36 28 31 8 15 34 41 37 15 29 41 0 18 23 32 17 1 9 13 27 10 40 35 10 27 7 12 22 18 35 26 24 14 21 33 31 20 18 18 7 35 1 28 25 22 39 42 18 10 3 42 2 25 41 5 5"
2,2,-0.778,-0.413,-0.067,"[P0] 8 6 32 30 35 42 7 25 16 39 33 5 10 33 42 37 9 19 22 35 4 19 13 39 35 8 9 11 24 40 22 18 29 37 34 15 23 9 38 26 16 19 14 17 30 3 30 15 14 39 36 29 27 17 37 5 30 35 11 27 38 23 41 20 9 2 36 4 18 29 37 36 35 22 27 29 40 23 14 8 42 38 35 24 23 30 18 14 25 17 22 22 23 4 32 15 11 10 25 18; [P1] 24 4 42 27 11 35 39 10 40 27 27 28 9 28 13 5 41 34 24 19 1 8 38 13 5 10 24 24 8 36 5 10 1 34 41 30 17 15 17 32 17 19 23 39 8 30 38 2 36 7 14 23 39 5 31 31 19 7 38 35 31 35 18 41 42 4 24 14 36 18 5 23 9 27 27 11 4 17 29 3 37 20 14 28 30 1 3 37 29 5 35 15 40 41 11 18 7 18 11 15; [P2] 18 37 8 39 13 32 30 14 30 0 18 21 3 21 17 38 23 30 29 8 6 7 38 0 41 41 30 22 27 35 21 22 3 25 22 14 25 24 0 41 24 13 8 1 13 5 35 40 39 5 38 37 37 23 18 22 13 31 8 2 41 1 10 0 41 9 10 14 6 35 2 15 37 14 38 33 1 8 32 10 16 1 17 25 10 4 1 14 0 19 17 27 31 25 16 32 20 3 28 40; [P3] 23 41 24 19 11 5 35 7 16 42 2 2 24 30 22 7 15 13 32 0 30 28 6 8 26 33 35 38 16 39 20 19 42 6 13 39 28 1 20 19 9 16 34 37 7 18 24 12 35 32 17 26 25 29 25 20 3 4 11 10 13 3 38 11 32 9 38 42 27 42 7 28 36 16 9 19 10 8 10 4 6 9 6 3 32 30 28 35 27 39 10 20 22 33 27 31 36 2 6 24; [P4] 28 6 1 26 7 26 6 17 19 7 26 7 33 38 6 28 17 26 35 24 21 33 33 7 29 21 12 18 35 30 39 41 35 14 0 29 27 7 32 40 34 17 0 30 36 28 31 8 15 34 41 37 15 29 41 0 18 23 32 17 1 9 13 27 10 40 35 10 27 7 12 22 18 35 26 24 14 21 33 31 20 18 18 7 35 1 28 25 22 39 42 18 10 3 42 2 25 41 5 5"
3,2,-0.778,-0.412,-0.063,"[P0] 8 6 32 30 35 42 7 25 16 39 33 5 10 33 42 37 9 19 22 35 4 19 13 39 35 8 9 11 24 40 22 18 29 37 34 15 23 9 38 26 16 19 14 17 30 3 30 15 14 39 36 29 27 17 37 5 30 35 11 27 38 23 41 20 9 2 36 4 18 29 37 36 35 22 27 29 40 23 14 8 42 38 35 24 23 30 18 14 25 17 22 22 23 4 32 15 11 10 25 18; [P1] 24 4 42 27 11 35 39 10 40 27 27 28 9 28 13 5 41 34 24 19 1 8 38 13 5 10 24 24 8 36 5 10 1 34 41 30 17 15 17 32 17 19 23 39 8 30 38 2 36 7 14 23 39 5 31 31 19 7 38 35 31 35 18 41 42 4 24 14 36 18 5 23 9 27 27 11 4 17 29 3 37 20 14 28 30 1 3 37 29 5 35 15 40 41 11 18 7 18 11 15; [P2] 18 37 8 39 13 32 30 14 30 0 18 21 3 21 17 38 23 30 29 8 6 7 38 0 41 41 30 22 27 35 21 22 3 25 22 14 25 24 0 41 24 13 8 1 13 5 35 40 39 5 38 37 37 23 18 22 13 31 8 2 41 1 10 0 41 9 10 14 6 35 2 15 37 14 38 33 1 8 32 10 16 1 17 25 10 4 1 14 0 19 17 27 31 25 16 32 20 3 28 40; [P3] 23 41 24 19 11 5 35 7 16 42 2 2 24 30 22 7 15 13 32 0 30 28 6 8 26 33 35 38 16 39 20 19 42 6 13 39 28 1 20 19 9 16 34 37 7 18 24 12 35 32 17 26 25 29 25 20 3 4 11 10 13 3 38 11 32 9 38 42 27 42 7 28 36 16 9 19 10 8 10 4 6 9 6 3 32 30 28 35 27 39 10 20 22 33 27 31 36 2 6 24; [P4] 28 6 1 26 7 26 6 17 19 7 26 7 33 38 6 28 17 26 35 24 21 33 33 7 29 21 12 18 35 30 39 41 35 14 0 29 27 7 32 40 34 17 0 30 36 28 31 8 15 34 41 37 15 29 41 0 18 23 32 17 1 9 13 27 10 40 35 10 27 7 12 22 18 35 26 24 14 21 33 31 20 18 18 7 35 1 28 25 22 39 42 18 10 3 42 2 25 41 5 5"
4,3,-0.824,-0.414,-0.063,"[P0] 1 32 0 34 42 9 24 25 17 2 27 29 26 38 7 30 8 10 26 39 40 16 30 13 5 36 2 0 21 33 42 8 36 2 11 1 1 34 30 2 37 7 29 1 1 39 41 24 2 25 41 5 1 29 30 10 15 2 8 36 31 19 31 1 0 29 13 1 0 26 0 17 10 20 22 28 30 4 8 14 25 11 25 29 4 38 14 0 13 24 15 6 24 30 40 27 7 13 13 25; [P1] 7 19 18 36 1 8 21 29 34 20 38 11 8 30 19 31 1 8 37 28 8 29 30 23 23 41 13 10 34 16 0 23 18 24 35 24 39 11 8 39 2 1 33 24 29 9 14 13 3 21 17 31 27 30 21 36 25 40 27 39 10 9 3 37 38 7 5 31 22 38 12 39 34 17 9 15 23 24 24 12 22 25 31 27 13 28 41 16 33 15 38 4 33 30 35 22 34 18 0 10; [P2] 17 0 24 2 40 25 0 23 19 17 17 7 11 11 28 37 15 21 18 21 33 13 41 11 26 1 41 39 19 10 26 15 20 2 39 16 35 11 28 37 36 25 4 25 2 20 7 9 13 9 26 8 17 24 13 38 22 41 1 28 20 6 14 27 21 6 9 40 8 2 38 20 7 17 12 42 1 16 32 31 38 25 30 20 38 18 0 7 34 10 26 28 25 28 11 5 0 22 36 8; [P3] 31 35 27 18 2 6 13 16 20 1 42 41 29 42 3 23 27 37 36 39 3 1 42 7 6 1 31 17 21 7 37 31 30 17 29 39 29 15 39 32 0 20 29 13 26 14 4 2 22 38 17 4 29 6 25 32 5 21 12 39 29 28 2 2 17 11 22 36 5 14 12 26 7 32 32 23 14 13 11 40 31 41 8 8 25 39 36 7 2 24 2 25 36 39 9 41 6 39 14 33; [P4] 7 17 30 0 29 19 11 32 33 38 11 23 24 20 34 23 34 9 16 5 36 7 25 18 24 16 14 22 19 6 21 28 36 35 13 37 39 20 0 6 12 4 11 2 0 19 28 34 39 18 15 2 30 35 5 8 41 6 40 31 10 33 14 18 17 41 8 1 0 11 20 28 6 32 29 2 7 35 17 0 33 2 12 25 10 35 22 11 3 29 36 28 32 34 2 11 7 41 2 12"
5,3,-0.824,-0.419,-0.077,"[P0] 1 32 0 34 42 9 24 25 17 2 27 29 26 38 7 30 8 10 26 39 40 16 30 13 5 36 2 0 21 33 42 8 36 2 11 1 1 34 30 2 37 7 29 1 1 39 41 24 2 25 41 5 1 29 30 10 15 2 8 36 31 19 31 1 0 29 13 1 0 26 0 17 10 20 22 28 30 4 8 14 25 11 25 29 4 38 14 0 13 24 15 6 24 30 40 27 7 13 13 25; [P1] 7 19 18 36 1 8 21 29 34 20 38 11 8 30 19 31 1 8 37 28 8 29 30 23 23 41 13 10 34 16 0 23 18 24 35 24 39 11 8 39 2 1 33 24 29 9 14 13 3 21 17 31 27 30 21 36 25 40 27 39 10 9 3 37 38 7 5 31 22 38 12 39 34 17 9 15 23 24 24 12 22 25 31 27 13 28 41 16 33 15 38 4 33 30 35 22 34 18 0 10; [P2] 17 0 24 2 40 25 0 23 19 17 17 7 11 11 28 37 15 21 18 21 33 13 41 11 26 1 41 39 19 10 26 15 20 2 39 16 35 11 28 37 36 25 4 25 2 20 7 9 13 9 26 8 17 24 13 38 22 41 1 28 20 6 14 27 21 6 9 40 8 2 38 20 7 17 12 42 1 16 32 31 38 25 30 20 38 18 0 7 34 10 26 28 25 28 11 5 0 22 36 8; [P3] 31 35 27 18 2 6 13 16 20 1 42 41 29 42 3 23 27 37 36 39 3 1 42 7 6 1 31 17 21 7 37 31 30 17 29 39 29 15 39 32 0 20 29 13 26 14 4 2 22 38 17 4 29 6 25 32 5 21 12 39 29 28 2 2 17 11 22 36 5 14 12 26 7 32 32 23 14 13 11 40 31 41 8 8 25 39 36 7 2 24 2 25 36 39 9 41 6 39 14 33; [P4] 7 17 30 0 29 19 11 32 33 38 11 23 24 20 34 23 34 9 16 5 36 7 25 18 24 16 14 22 19 6 21 28 36 35 13 37 39 20 0 6 12 4 11 2 0 19 28 34 39 18 15 2 30 35 5 8 41 6 40 31 10 33 14 18 17 41 8 1 0 11 20 28 6 32 29 2 7 35 17 0 33 2 12 25 10 35 22 11 3 29 36 28 32 34 2 11 7 41 2 12"
6,3,-0.824,-0.423,-0.067,"[P0] 1 32 0 34 42 9 24 25 17 2 27 29 26 38 7 30 8 10 26 39 40 16 30 13 5 36 2 0 21 33 42 8 36 2 11 1 1 34 30 2 37 7 29 1 1 39 41 24 2 25 41 5 1 29 30 10 15 2 8 36 31 19 31 1 0 29 13 1 0 26 0 17 10 20 22 28 30 4 8 14 25 11 25 29 4 38 14 0 13 24 15 6 24 30 40 27 7 13 13 25; [P1] 7 19 18 36 1 8 21 29 34 20 38 11 8 30 19 31 1 8 37 28 8 29 30 23 23 41 13 10 34 16 0 23 18 24 35 24 39 11 8 39 2 1 33 24 29 9 14 13 3 21 17 31 27 30 21 36 25 40 27 39 10 9 3 37 38 7 5 31 22 38 12 39 34 17 9 15 23 24 24 12 22 25 31 27 13 28 41 16 33 15 38 4 33 30 35 22 34 18 0 10; [P2] 17 0 24 2 40 25 0 23 19 17 17 7 11 11 28 37 15 21 18 21 33 13 41 11 26 1 41 39 19 10 26 15 20 2 39 16 35 11 28 37 36 25 4 25 2 20 7 9 13 9 26 8 17 24 13 38 22 41 1 28 20 6 14 27 21 6 9 40 8 2 38 20 7 17 12 42 1 16 32 31 38 25 30 20 38 18 0 7 34 10 26 28 25 28 11 5 0 22 36 8; [P3] 31 35 27 18 2 6 13 16 20 1 42 41 29 42 3 23 27 37 36 39 3 1 42 7 6 1 31 17 21 7 37 31 30 17 29 39 29 15 39 32 0 20 29 13 26 14 4 2 22 38 17 4 29 6 25 32 5 21 12 39 29 28 2 2 17 11 22 36 5 14 12 26 7 32 32 23 14 13 11 40 31 41 8 8 25 39 36 7 2 24 2 25 36 39 9 41 6 39 14 33; [P4] 7 17 30 0 29 19 11 32 33 38 11 23 24 20 34 23 34 9 16 5 36 7 25 18 24 16 14 22 19 6 21 28 36 35 13 37 39 20 0 6 12 4 11 2 0 19 28 34 39 18 15 2 30 35 5 8 41 6 40 31 10 33 14 18 17 41 8 1 0 11 20 28 6 32 29 2 7 35 17 0 33 2 12 25 10 35 22 11 3 29 36 28 32 34 2 11 7 41 2 12"
7,3,-0.824,-0.428,-0.067,"[P0] 1 32 0 34 42 9 24 25 17 2 27 29 26 38 7 30 8 10 26 39 40 16 30 13 5 36 2 0 21 33 42 8 36 2 11 1 1 34 30 2 37 7 29 1 1 39 41 24 2 25 41 5 1 29 30 10 15 2 8 36 31 19 31 1 0 29 13 1 0 26 0 17 10 20 22 28 30 4 8 14 25 11 25 29 4 38 14 0 13 24 15 6 24 30 40 27 7 13 13 25; [P1] 7 19 18 36 1 8 21 29 34 20 38 11 8 30 19 31 1 8 37 28 8 29 30 23 23 41 13 10 34 16 0 23 18 24 35 24 39 11 8 39 2 1 33 24 29 9 14 13 3 21 17 31 27 30 21 36 25 40 27 39 10 9 3 37 38 7 5 31 22 38 12 39 34 17 9 15 23 24 24 12 22 25 31 27 13 28 41 16 33 15 38 4 33 30 35 22 34 18 0 10; [P2] 17 0 24 2 40 25 0 23 19 17 17 7 11 11 28 37 15 21 18 21 33 13 41 11 26 1 41 39 19 10 26 15 20 2 39 16 35 11 28 37 36 25 4 25 2 20 7 9 13 9 26 8 17 24 13 38 22 41 1 28 20 6 14 27 21 6 9 40 8 2 38 20 7 17 12 42 1 16 32 31 38 25 30 20 38 18 0 7 34 10 26 28 25 28 11 5 0 22 36 8; [P3] 31 35 27 18 2 6 13 16 20 1 42 41 29 42 3 23 27 37 36 39 3 1 42 7 6 1 31 17 21 7 37 31 30 17 29 39 29 15 39 32 0 20 29 13 26 14 4 2 22 38 17 4 29 6 25 32 5 21 12 39 29 28 2 2 17 11 22 36 5 14 12 26 7 32 32 23 14 13 11 40 31 41 8 8 25 39 36 7 2 24 2 25 36 39 9 41 6 39 14 33; [P4] 7 17 30 0 29 19 11 32 33 38 11 23 24 20 34 23 34 9 16 5 36 7 25 18 24 16 14 22 19 6 21 28 36 35 13 37 39 20 0 6 12 4 11 2 0 19 28 34 39 18 15 2 30 35 5 8 41 6 40 31 10 33 14 18 17 41 8 1 0 11 20 28 6 32 29 2 7 35 17 0 33 2 12 25 10 35 22 11 3 29 36 28 32 34 2 11 7 41 2 12"
8,3,-0.824,-0.428,-0.063,"[P0] 1 32 0 34 42 9 24 25 17 2 27 29 26 38 7 30 8 10 26 39 40 16 30 13 5 36 2 0 21 33 42 8 36 2 11 1 1 34 30 2 37 7 29 1 1 39 41 24 2 25 41 5 1 29 30 10 15 2 8 36 31 19 31 1 0 29 13 1 0 26 0 17 10 20 22 28 30 4 8 14 25 11 25 29 4 38 14 0 13 24 15 6 24 30 40 27 7 13 13 25; [P1] 7 19 18 36 1 8 21 29 34 20 38 11 8 30 19 31 1 8 37 28 8 29 30 23 23 41 13 10 34 16 0 23 18 24 35 24 39 11 8 39 2 1 33 24 29 9 14 13 3 21 17 31 27 30 21 36 25 40 27 39 10 9 3 37 38 7 5 31 22 38 12 39 34 17 9 15 23 24 24 12 22 25 31 27 13 28 41 16 33 15 38 4 33 30 35 22 34 18 0 10; [P2] 17 0 24 2 40 25 0 23 19 17 17 7 11 11 28 37 15 21 18 21 33 13 41 11 26 1 41 39 19 10 26 15 20 2 39 16 35 11 28 37 36 25 4 25 2 20 7 9 13 9 26 8 17 24 13 38 22 41 1 28 20 6 14 27 21 6 9 40 8 2 38 20 7 17 12 42 1 16 32 31 38 25 30 20 38 18 0 7 34 10 26 28 25 28 11 5 0 22 36 8; [P3] 31 35 27 18 2 6 13 16 20 1 42 41 29 42 3 23 27 37 36 39 3 1 42 7 6 1 31 17 21 7 37 31 30 17 29 39 29 15 39 32 0 20 29 13 26 14 4 2 22 38 17 4 29 6 25 32 5 21 12 39 29 28 2 2 17 11 22 36 5 14 12 26 7 32 32 23 14 13 11 40 31 41 8 8 25 39 36 7 2 24 2 25 36 39 9 41 6 39 14 33; [P4] 7 17 30 0 29 19 11 32 33 38 11 23 24 20 34 23 34 9 16 5 36 7 25 18 24 16 14 22 19 6 21 28 36 35 13 37 39 20 0 6 12 4 11 2 0 19 28 34 39 18 15 2 30 35 5 8 41 6 40 31 10 33 14 18 17 41 8 1 0 11 20 28 6 32 29 2 7 35 17 0 33 2 12 25 10 35 22 11 3 29 36 28 32 34 2 11 7 41 2 12"
9,4,-0.857,-0.436,-0.067,"[P0] 1 32 0 34 20 9 23 25 31 2 27 42 16 38 7 30 8 10 26 39 6 29 30 31 5 40 31 0 21 33 38 8 39 2 7 1 1 33 2 2 11 12 24 1 1 39 41 24 2 3 41 41 1 29 30 10 15 41 8 36 31 19 37 28 33 29 13 1 0 26 0 17 10 20 22 28 30 4 8 14 10 11 25 29 4 38 29 0 13 24 15 6 24 18 40 27 7 13 13 25; [P1] 12 25 22 11 7 19 24 13 36 36 32 18 28 20 11 17 9 12 15 17 23 38 36 25 30 5 14 14 23 23 32 10 15 18 21 32 5 29 2 11 15 4 16 2 27 6 37 26 38 8 8 31 8 20 14 12 17 14 30 15 12 26 9 1 19 32 29 13 7 35 38 12 3 39 37 36 0 15 30 39 37 11 18 23 14 36 21 1 37 13 21 4 16 0 28 32 32 39 15 15; [P2] 29 0 24 2 40 25 0 23 19 18 17 7 36 15 28 37 15 21 18 8 42 13 41 13 26 1 41 39 19 10 26 13 20 2 30 20 8 11 28 23 36 25 4 25 38 33 30 9 28 9 10 8 17 24 13 38 22 41 1 28 20 6 14 1 21 6 9 34 8 2 38 20 15 17 12 42 1 16 7 40 28 25 30 23 38 18 5 7 34 10 26 28 25 28 11 5 0 26 36 8; [P3] 10 24 27 41 40 20 5 40 18 14 8 21 29 19 39 0 25 37 36 39 3 1 34 7 6 14 31 27 26 41 23 25 30 18 12 39 29 1 14 32 38 1 1 27 26 5 4 3 22 38 31 4 29 6 1 9 5 13 12 21 13 21 8 28 14 1 22 36 34 14 13 17 23 7 5 1 28 13 11 22 31 27 8 4 16 39 36 7 2 20 41 25 4 39 9 41 6 14 6 33; [P4] 22 36 27 15 0 8 32 39 0 33 26 38 33 1 28 1 33 14 20 6 19 11 6 28 12 18 18 2 30 25 35 35 27 25 19 7 39 35 9 32 22 33 39 28 34 18 16 34 24 21 26 28 29 0 37 18 25 35 12 15 5 34 24 19 12 11 26 37 41 2 25 34 41 27 31 38 12 14 18 40 38 16 37 12 42 15 35 16 0 1 16 7 38 10 32 20 23 0 25 37"
