fitness
-0.6673
-0.7149
-0.6338
-0.7182
-0.7124
-0.6647
-0.7165
-0.7207
-0.7007
-0.7027
-0.7168
-0.7026
-0.7061
-0.7064
-0.7075
-0.7102
-0.71
-0.7078
-0.7094
-0.663
-0.7252
-0.6663
-0.7076
-0.716
-0.6694
-0.7028
-0.7073
-0.7191
-0.7062
-0.6721
