fitness
-0.7019
-0.7372
-0.7123
-0.7026
-0.6622
-0.7068
-0.7008
-0.7007
-0.717
-0.7302
-0.6333
-0.7002
-0.7001
-0.7012
-0.7036
-0.7155
-0.7
-0.7099
-0.7017
-0.7016
-0.7018
-0.7203
-0.6669
-0.6262
-0.6657
-0.6893
-0.7289
-0.655
-0.6206
-0.6645
