gen,best,avg,worst,best_genome
0,-0.875,-0.467,-0.059,"[P0] 13 23 1 24 1 13 33 25 30 28 15 18 5 26 41 11 28 5 9 40 27 5 39 23 37 4 11 25 10 37 39 35 23 32 8 4 26 13 11 29 37 31 22 14 38 13 27 16 32 9 1 26 15 30 2 27 35 16 24 25 3 38 8 25 26 41 10 40 42 17 40 11 20 22 2 17 20 22 30 13 18 18 11 26 22 26 17 12 32 28 8 11 6 23 14 15 8 5 33 21 | [P1] 6 26 37 37 27 35 31 18 14 0 15 18 11 21 2 27 0 22 20 36 36 26 28 26 39 18 42 17 13 15 3 5 2 35 3 17 11 42 36 20 9 15 9 27 37 26 4 13 22 14 14 15 21 3 20 36 18 23 32 12 38 13 41 25 32 3 12 10 10 19 26 5 42 37 16 28 35 9 9 24 32 20 32 5 5 17 33 31 32 21 6 1 29 7 0 26 22 5 18 12 | [P2] 2 36 40 18 27 28 27 34 42 30 30 13 42 21 39 21 22 41 3 16 25 11 2 21 34 27 12 1 12 8 4 22 36 27 29 32 25 32 19 36 36 19 8 37 20 31 16 27 6 16 10 20 28 40 33 16 11 0 0 4 19 25 13 30 14 3 39 26 37 3 20 27 6 0 27 1 22 18 6 41 11 7 36 5 6 9 4 7 38 6 35 18 27 4 6 42 18 33 12 8 | [P3] 12 7 30 12 8 42 32 13 33 22 15 25 28 4 17 38 8 38 13 6 2 38 4 39 32 35 27 22 36 4 19 15 27 41 38 32 21 5 7 0 5 18 0 22 6 18 38 6 20 15 27 12 6 30 18 17 34 20 25 39 31 39 27 3 32 6 26 35 1 32 27 35 42 28 36 25 24 39 11 10 13 16 3 39 17 24 14 6 16 28 32 27 31 11 0 17 2 17 4 3 | [P4] 1 32 13 12 37 40 7 24 6 25 10 10 20 16 1 36 17 29 32 40 41 5 38 39 10 14 17 17 27 38 28 0 11 31 29 14 21 26 20 25 24 24 4 29 30 10 24 20 35 13 21 1 6 15 23 15 16 39 22 34 32 29 8 41 4 19 21 14 18 23 35 15 37 7 37 42 1 9 28 23 39 6 15 41 27 28 25 25 9 32 17 26 14 5 23 10 34 28 34 33"
11,-0.917,-0.476,-0.077,"[P0] 15 37 26 27 0 14 0 28 6 12 8 25 19 27 1 17 26 36 42 39 33 27 41 40 27 40 4 4 25 2 0 1 3 0 2 2 39 3 13 3 21 40 4 39 1 19 22 35 16 2 6 24 41 36 18 16 32 14 28 7 7 36 35 9 16 16 33 2 3 38 35 27 11 37 5 13 31 23 28 39 39 39 15 33 38 0 8 37 37 42 3 18 33 26 14 29 39 24 35 24 | [P1] 1 39 19 39 16 12 6 35 25 10 5 16 18 29 39 28 10 25 29 8 25 26 5 19 6 0 37 21 10 17 3 27 14 36 28 38 1 42 22 21 10 4 14 6 14 41 19 38 22 4 24 11 39 29 12 31 1 10 7 18 14 23 40 11 32 32 16 12 40 26 33 30 34 9 22 41 4 2 37 10 28 27 21 39 1 13 29 25 1 4 4 22 1 24 41 24 40 4 36 11 | [P2] 19 16 10 40 8 16 24 41 12 42 26 22 17 41 22 6 36 35 8 33 14 29 22 27 17 7 25 18 39 19 27 40 5 29 35 24 1 23 35 2 23 12 0 40 6 4 20 36 30 5 36 27 23 36 12 10 18 5 21 31 22 11 6 26 9 16 24 30 21 37 2 1 0 0 2 15 18 8 16 31 15 32 34 16 41 25 3 33 40 25 33 28 37 27 28 21 20 36 8 17 | [P3] 3 41 0 18 13 0 32 0 23 13 4 26 18 39 0 4 16 1 0 7 18 42 36 17 16 22 20 30 26 27 19 13 16 5 18 18 41 22 6 10 38 10 3 36 26 30 3 33 6 42 25 26 0 37 41 0 39 17 25 2 14 20 12 3 19 10 20 38 23 9 19 42 26 6 25 7 10 9 19 19 36 28 17 2 31 1 21 6 14 36 10 5 34 26 10 5 37 10 39 1 | [P4] 2 32 6 20 25 8 31 38 15 20 13 12 5 7 27 26 18 2 36 5 23 2 10 9 1 22 41 42 25 33 9 38 39 32 20 13 41 42 20 39 23 28 41 17 26 38 23 42 29 15 26 39 2 33 24 28 32 38 3 1 11 12 34 21 40 19 41 2 33 27 1 36 2 19 24 32 37 25 30 17 31 2 26 19 12 4 28 35 1 11 15 7 36 29 39 27 28 33 3 32"
14,-0.929,-0.488,-0.059,"[P0] 15 37 26 27 0 14 0 28 6 12 8 25 19 27 1 17 26 36 42 39 33 27 41 40 27 40 4 4 25 2 0 1 3 0 2 2 39 3 13 3 21 40 4 39 1 19 22 35 16 2 6 24 41 36 18 16 32 14 28 7 7 36 35 9 16 16 33 2 3 38 35 27 11 37 5 13 31 23 28 39 39 39 15 33 38 0 8 37 37 42 3 18 33 26 14 29 39 24 35 24 | [P1] 1 39 19 39 16 12 6 35 25 10 5 16 18 29 39 28 10 25 29 8 25 26 5 19 6 0 37 21 10 17 3 27 14 36 28 38 1 42 22 21 10 4 14 6 14 41 19 38 22 4 24 28 39 29 12 31 1 10 7 18 14 23 40 11 32 32 16 12 40 26 34 30 34 9 22 41 4 2 37 10 28 27 21 39 1 13 29 25 1 4 4 22 1 24 41 24 40 4 36 11 | [P2] 28 13 37 34 29 19 13 15 1 10 19 14 26 1 29 21 19 32 42 9 4 0 2 15 29 40 8 37 9 28 40 11 36 4 9 0 25 20 1 31 21 41 3 13 32 34 34 15 36 39 20 6 15 21 20 28 8 11 22 4 1 24 39 24 9 28 41 13 25 2 5 2 25 42 22 31 17 7 19 30 22 16 6 42 5 41 40 11 4 37 33 7 42 18 28 20 32 3 8 34 | [P3] 28 5 26 35 16 0 36 33 10 26 8 41 30 29 11 33 20 16 9 31 3 22 30 9 6 37 12 42 13 36 5 12 39 1 35 16 20 36 17 13 7 8 25 41 28 2 22 4 5 29 36 39 40 39 7 12 29 1 33 22 35 5 37 16 1 29 25 34 28 29 23 2 9 42 36 13 36 1 23 14 39 32 34 10 27 35 17 32 32 25 39 39 25 31 33 40 30 21 27 6 | [P4] 18 1 27 34 21 5 22 21 10 11 17 5 3 3 24 37 23 1 0 15 34 21 36 19 13 23 40 5 17 32 11 19 37 25 33 27 18 30 9 0 21 14 20 39 19 39 36 24 1 38 8 24 38 8 12 21 35 42 24 15 37 30 23 1 8 1 10 23 18 41 20 6 12 0 15 12 1 21 1 41 33 40 4 1 18 7 9 41 9 23 36 18 39 4 2 15 33 39 14 27"
18,-0.941,-0.521,-0.071,"[P0] 15 37 26 27 0 14 0 28 6 12 8 25 19 27 1 17 26 36 42 39 33 27 41 40 27 40 4 4 25 2 0 1 3 0 2 2 39 3 13 3 21 40 4 39 1 19 22 35 16 2 6 24 41 36 18 16 32 14 28 7 7 36 35 9 16 16 33 2 41 38 35 27 11 37 5 13 31 23 28 39 39 39 15 33 38 0 8 37 37 42 3 18 33 26 14 21 39 24 35 24 | [P1] 1 39 19 39 16 12 6 35 25 10 32 16 18 29 39 28 10 25 29 8 25 26 5 19 6 0 37 42 10 17 3 27 14 36 28 38 1 42 22 21 10 4 14 6 14 41 19 38 22 4 24 11 39 29 12 31 1 10 7 18 14 23 40 11 32 32 16 12 40 26 34 30 34 9 22 41 4 2 37 10 28 27 21 39 1 13 29 25 1 4 4 22 1 24 41 24 40 4 36 13 | [P2] 28 13 37 34 29 19 13 15 1 10 19 14 26 1 29 21 41 32 42 9 4 0 2 15 29 40 8 37 9 28 40 11 29 4 9 0 25 20 1 31 21 41 3 10 32 34 34 15 36 39 20 6 15 21 20 28 8 11 22 4 1 24 39 24 9 28 41 13 25 2 5 2 25 42 22 31 17 7 19 30 22 16 6 42 5 41 40 11 4 37 33 7 42 18 28 20 32 3 8 34 | [P3] 28 5 26 35 16 0 36 33 10 26 8 41 30 29 11 33 20 16 9 41 39 22 30 9 6 37 12 42 13 36 5 12 39 1 35 16 20 36 17 13 7 8 25 41 22 2 22 4 16 29 36 39 40 39 7 12 29 1 33 22 35 5 37 16 1 29 25 34 28 29 23 2 9 42 18 13 36 1 23 14 39 32 32 20 12 35 17 32 32 15 39 39 25 31 33 40 30 21 27 6 | [P4] 15 15 4 19 21 32 26 31 30 14 12 30 17 0 3 39 35 15 34 40 9 13 41 17 30 41 2 36 18 16 17 34 24 14 13 0 6 19 27 28 11 1 7 2 2 25 31 26 35 11 41 17 33 17 0 36 42 28 36 4 2 39 36 18 24 23 32 18 1 18 13 38 29 0 28 34 26 28 28 40 9 32 36 39 8 2 27 33 39 13 30 16 17 38 1 9 30 32 25 4"
