seed,ae_fitness,ae_winrate,tier1_winrate,tier2_winrate,tier3_winrate,tier4_winrate,tier5_winrate
31,-0.7955,0.85,0.5,0.1,0.05,0.05,0.05
32,-0.7919,0.9,0.15,0.15,0.1,0.05,0.1
33,-0.7251,0.9,0.8,0.15,0.05,0.05,0.1
34,-0.7359,1.0,0.8,0.25,0.1,0.05,0.05
35,-0.7723,0.7,0.85,0.1,0.05,0.05,0.05
36,-0.7541,0.55,0.6,0.15,0.05,0.05,0.05
37,-0.8114,0.95,0.65,0.2,0.05,0.05,0.05
38,-0.7705,0.9,0.65,0.1,0.1,0.05,0.05
39,-0.8139,0.9,0.35,0.2,0.05,0.1,0.05
40,-0.7968,0.95,0.35,0.2,0.05,0.05,0.05
41,-0.7821,0.95,0.75,0.2,0.1,0.05,0.05
42,-0.8194,0.95,0.65,0.25,0.05,0.05,0.05
43,-0.7984,0.95,0.55,0.2,0.1,0.05,0.05
44,-0.8403,0.95,0.35,0.05,0.05,0.05,0.1
45,-0.7704,0.65,0.5,0.1,0.1,0.05,0.1
46,-0.7672,1.0,0.75,0.25,0.05,0.1,0.05
47,-0.7472,0.95,0.65,0.2,0.05,0.05,0.05
48,-0.8181,0.95,0.5,0.1,0.05,0.05,0.05
49,-0.8281,0.9,0.5,0.15,0.05,0.05,0.05
50,-0.8019,1.0,0.55,0.15,0.05,0.1,0.05
51,-0.7951,0.95,0.65,0.2,0.05,0.05,0.05
52,-0.7825,1.0,0.7,0.25,0.15,0.05,0.05
53,-0.8098,0.85,0.8,0.25,0.1,0.05,0.05
54,-0.7885,0.8,0.85,0.05,0.05,0.1,0.1
55,-0.7679,0.6,0.7,0.1,0.1,0.05,0.05
56,-0.7483,0.85,0.75,0.1,0.1,0.1,0.05
57,-0.7634,0.8,0.7,0.25,0.1,0.05,0.05
58,-0.8026,0.9,0.6,0.15,0.05,0.05,0.05
59,-0.7478,0.95,0.75,0.15,0.05,0.05,0.1
60,-0.7946,0.9,0.65,0.1,0.05,0.05,0.05
