inst,n_seeds,fitness_mean,fitness_std,winrate_mean,winrate_std
BALANCED,270,-0.71313,0.022912867685564987,0.9937081481481481,0.017395448927752476
EXPONENTIAL,270,-0.6992559259259259,0.026188815791469998,0.9870955555555555,0.02457282588541748
PIECEWISE,270,-0.6972125925925926,0.02163469927187183,0.9907655555555556,0.01925836173982893
