rank,fitness,winrate,genome
0.7229,1.0000,"28 28 28 40 28 28 28 28 28 30 28 28 28 28 28 28 28 28 28 40 28 30 4 28 28 28 28 28 40 28 28 2 28 2 28 28 28 28 40 40 28 28 40 2 28 28 28 29 28 2 28 30 2 28 29 28 4 28 28 28 5 2 28 28 28 29 2 28 28 2 28 28 28 28 28 28 28 40 28 2 28 30 28 28 28 28 28 40 40 28 28 28 28 29 28 28 28 40 8 28 12 25 2 12 12 25 25 16 16 25 25 2 25 25 25 12 25 25 16 16 25 25 25 25 25 16 2 25 16 2 27 27 25 12 12 16 12 25 25 26 25 25 25 12 25 12 2 27 2 2 12 2 27 25 25 25 16 25 25 16 25 2 25 25 27 12 25 25 2 25 27 25 25 25 26 12 2 25 16 25 23 25 2 25 27 16 2 12 2 25 27 16 27 2 25 25 26 25 25 2 31 21 21 21 21 21 21 21 22 21 21 21 13 1 21 21 21 21 21 22 21 21 21 21 21 31 32 21 0 21 22 22 21 21 31 21 21 21 21 21 21 21 21 21 21 21 31 21 21 31 31 21 21 21 22 21 21 21 21 31 21 21 21 21 21 21 21 21 21 21 21 22 12 21 0 21 21 21 21 0 21 21 21 21 21 21 21 21 22 32 22 21 38 1 21 31 21 31 21 21 3 2 3 0 3 0 2 0 2 2 3 2 0 3 0 0 0 11 2 0 3 2 2 3 3 3 3 0 0 0 2 2 2 2 0 2 2 2 0 3 2 0 0 11 3 3 3 3 3 3 0 0 2 0 3 0 37 0 3 0 2 3 3 0 2 0 2 3 0 2 2 3 3 2 3 2 3 3 0 3 0 2 0 2 2 0 2 2 3 11 0 2 2 12 3 0 2 2 0 0 28 28 28 34 34 34 28 28 28 28 28 29 28 28 28 28 28 28 28 28 34 34 28 28 28 28 28 34 28 34 6 28 28 30 28 28 28 34 28 28 28 28 28 28 28 28 5 28 28 28 28 34 28 28 35 28 30 28 28 28 34 28 34 28 28 28 34 28 28 34 28 28 28 28 28 28 28 28 28 28 29 34 28 28 28 28 30 28 28 28 28 28 28 28 28 28 28 34 28 28"
0.7154,1.0000,"12 12 12 2 2 12 12 12 12 12 2 7 12 2 2 12 12 12 18 18 17 17 17 12 12 12 12 12 12 12 12 12 12 12 18 12 12 12 17 18 12 12 12 12 12 12 12 2 18 2 18 12 12 12 17 12 12 12 12 18 12 12 2 12 12 18 12 12 12 12 2 12 12 12 12 5 12 17 12 12 12 12 12 18 12 18 12 8 17 12 12 12 17 12 2 12 12 12 12 12 12 25 2 12 12 25 25 16 16 25 25 2 25 25 25 12 25 25 16 16 25 25 25 25 25 16 2 25 16 2 27 27 25 12 12 16 12 25 25 26 25 25 25 12 25 12 2 27 2 2 12 2 27 25 25 25 16 25 25 16 25 2 25 25 27 12 25 25 2 25 27 25 25 25 26 12 2 25 16 25 23 25 2 25 27 16 2 12 2 25 27 16 27 2 25 25 26 25 25 2 25 25 25 5 3 25 25 0 25 25 25 25 25 5 25 25 25 12 25 25 37 2 25 25 12 25 25 25 25 25 25 25 25 25 6 25 25 4 25 25 25 25 22 25 5 25 12 5 25 26 12 22 25 25 25 25 25 12 25 25 0 25 25 26 25 22 25 25 25 27 12 25 27 25 12 25 25 25 25 25 5 25 12 25 3 25 25 25 25 25 25 25 12 25 27 25 12 25 12 25 42 12 42 0 3 42 42 0 42 2 42 42 42 42 42 42 0 42 2 0 3 42 42 3 3 3 42 42 16 42 42 42 2 42 42 2 42 2 42 3 42 42 42 11 12 42 42 42 42 3 42 42 42 0 42 0 37 12 3 0 2 42 42 0 16 42 16 3 42 42 42 3 42 42 42 42 42 3 42 42 42 42 0 42 42 42 42 2 42 11 42 2 42 12 42 42 42 42 42 0 26 25 25 25 25 9 25 25 9 25 25 31 25 40 40 9 25 25 25 2 25 25 25 25 25 40 25 25 40 25 25 25 25 27 25 25 25 9 25 25 25 27 25 25 25 25 9 25 31 25 25 26 40 25 25 25 25 31 25 13 25 25 25 27 26 25 25 25 25 26 25 9 25 25 25 9 9 9 11 25 25 25 25 25 25 25 9 25 25 9 26 25 9 25 25 25 9 9 25 2"
0.7144,0.9130,"0 0 6 3 3 3 2 0 2 2 0 0 2 0 3 3 0 3 2 37 2 7 3 2 2 3 0 0 0 0 2 0 2 0 5 0 2 3 2 3 3 2 2 0 2 0 3 0 3 2 0 41 3 3 7 3 0 3 3 2 3 0 3 6 3 37 0 3 2 2 4 2 3 2 2 0 7 5 3 2 2 0 0 0 2 3 0 37 0 2 3 0 2 0 2 2 0 0 0 0 19 19 19 34 34 19 34 34 2 2 34 19 2 6 34 34 34 34 34 34 19 34 2 34 34 34 19 19 34 34 34 2 34 34 34 19 34 34 36 35 36 34 34 34 34 34 34 34 34 34 19 34 34 19 34 36 34 19 34 19 34 34 34 34 34 19 19 34 4 34 34 34 34 12 34 34 34 19 34 34 34 34 19 34 34 34 34 19 34 34 19 34 34 34 34 34 12 34 35 34 25 25 25 7 25 25 25 25 25 25 25 25 25 28 28 25 25 25 28 25 25 25 25 25 28 27 25 25 25 25 25 28 28 25 25 25 25 28 25 25 28 25 25 25 25 25 28 28 25 25 25 25 28 25 23 25 25 25 27 25 25 25 25 25 27 25 25 28 25 25 27 25 25 28 25 28 25 28 28 25 28 25 25 25 25 28 25 25 28 12 28 25 25 25 25 12 27 28 28 28 34 34 34 34 31 34 34 34 34 34 34 34 31 34 34 31 31 31 34 34 31 34 34 35 34 34 34 34 34 34 34 31 34 34 34 34 34 34 34 31 31 34 34 34 34 34 31 31 34 35 31 34 34 34 34 31 34 34 34 34 34 23 31 34 34 34 31 34 36 31 34 35 34 34 34 34 2 31 34 34 31 34 2 34 34 34 34 34 31 34 34 34 34 34 34 34 34 31 34 34 31 3 0 0 3 0 3 3 3 0 15 1 31 27 31 0 31 3 3 0 0 0 0 0 3 3 3 1 3 0 3 0 0 0 38 0 0 31 0 0 3 0 17 0 0 38 13 0 3 3 0 0 13 3 13 0 38 13 38 31 0 3 24 0 3 3 31 1 0 0 3 31 20 3 3 38 3 3 3 3 38 3 3 3 0 3 33 3 13 0 31 1 3 1 0 31 0 1 0 0"
0.6155,0.9048,"2 7 6 2 2 2 2 2 2 2 2 2 7 2 2 2 2 2 42 2 2 7 2 2 2 7 2 2 6 2 37 2 6 2 7 2 7 2 42 2 5 2 2 2 2 2 2 2 2 2 2 2 7 2 7 2 2 28 2 2 2 2 2 2 2 2 7 2 2 7 2 7 2 2 2 17 7 7 7 2 7 2 37 2 2 7 4 37 7 2 7 7 2 2 2 2 2 7 2 2 17 25 25 17 25 25 17 25 25 17 25 25 25 12 25 27 25 25 25 25 26 25 25 25 25 25 25 27 25 36 25 17 25 17 18 25 17 25 17 25 17 27 25 28 25 25 17 25 25 25 25 18 25 25 25 25 25 25 17 25 26 25 25 26 25 17 17 25 25 17 27 25 25 25 17 25 26 25 25 25 17 25 17 25 17 25 25 25 25 25 17 0 17 25 25 25 25 25 17 25 23 7 2 23 23 23 2 23 23 23 23 13 13 23 23 23 23 2 38 23 23 7 23 24 23 23 23 23 23 23 23 24 2 23 0 23 2 23 2 23 23 23 7 23 2 23 23 23 23 23 23 3 23 23 23 24 23 23 23 2 13 23 8 23 2 23 23 23 2 7 2 2 23 23 26 23 23 23 23 23 23 23 23 23 23 2 23 23 12 23 7 13 23 3 23 2 23 23 40 3 25 5 25 25 25 25 25 25 25 25 25 25 25 25 3 3 3 25 19 5 25 26 25 25 0 25 0 25 36 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 3 25 32 3 25 26 25 25 25 25 25 0 17 25 25 25 25 25 0 25 3 0 25 25 0 25 25 25 25 0 25 25 26 25 0 25 25 25 6 34 25 27 0 25 25 3 0 25 25 0 25 25 36 25 37 9 15 21 4 9 18 33 38 41 15 13 31 27 34 27 33 26 41 2 34 23 9 16 28 17 16 10 14 35 26 27 20 23 8 7 37 0 4 10 32 41 17 0 14 35 41 4 12 38 35 22 20 7 31 10 17 39 19 40 8 41 24 41 29 15 19 41 6 36 9 17 20 33 36 33 11 27 16 34 40 38 30 25 22 18 13 31 6 35 2 11 3 18 22 13 24 8 7 19"
0.5524,0.9032,"9 13 2 2 2 12 2 2 9 6 2 2 2 2 2 9 2 2 9 11 2 2 2 2 2 2 12 2 2 2 22 2 2 2 2 2 2 2 2 2 5 2 2 4 2 5 2 2 12 2 12 12 2 2 2 2 2 2 9 12 2 2 12 2 2 5 2 12 2 12 2 2 2 2 2 12 2 12 2 2 2 2 2 12 2 2 12 2 2 21 22 2 2 2 12 2 2 2 21 2 25 25 25 25 27 25 25 25 25 12 25 27 25 25 25 25 27 25 25 25 25 25 25 25 26 25 25 25 25 25 25 25 12 25 25 25 25 25 25 25 25 25 25 12 25 26 25 25 25 25 26 12 25 25 25 25 25 25 25 12 12 25 25 12 25 25 25 25 25 25 25 25 25 27 25 25 25 25 25 25 25 25 26 25 25 25 25 12 25 25 12 12 25 12 25 12 25 25 25 25 34 34 30 34 30 34 2 34 34 34 34 34 12 34 12 34 34 34 2 34 12 30 12 34 34 36 34 12 34 34 12 2 34 12 36 30 34 35 34 34 34 34 34 34 30 34 12 34 34 34 34 34 12 36 12 12 34 34 2 34 35 12 34 12 34 34 12 34 34 34 34 36 36 34 34 35 12 34 34 34 34 34 34 12 36 2 2 34 34 12 34 34 34 34 34 34 34 34 34 34 4 41 41 2 41 40 41 41 41 2 41 41 4 13 41 41 41 2 41 41 41 2 2 3 2 41 41 41 41 41 41 41 3 3 41 1 41 41 41 40 2 41 41 2 41 9 41 41 2 41 41 0 40 41 41 13 41 41 4 41 41 41 41 37 3 41 9 41 4 2 41 41 41 1 41 2 2 41 41 9 41 2 41 41 41 41 41 41 2 41 41 41 41 41 41 41 41 1 2 41 23 23 23 23 23 24 23 23 15 24 23 23 23 12 23 24 23 23 23 23 23 12 38 9 12 9 23 23 24 23 23 12 23 23 23 23 35 23 12 9 23 9 23 12 23 23 23 23 23 23 23 15 23 16 12 23 12 23 24 23 23 9 12 23 12 23 1 12 24 12 23 12 9 0 23 23 12 12 23 23 23 23 15 9 15 23 23 23 23 23 3 12 12 23 12 12 12 23 23 23"
