rank,fitness,winrate,genome
0.7340,1.0000,"2 2 2 2 2 2 2 37 2 17 37 2 2 22 17 17 25 2 17 5 2 2 18 2 2 6 2 2 2 2 2 2 2 21 17 2 2 17 17 2 17 17 21 2 2 25 2 2 18 17 2 2 2 2 37 37 2 2 17 17 17 2 2 17 2 17 17 17 2 2 17 17 2 2 17 2 2 2 2 2 2 2 2 5 2 17 12 2 2 2 2 2 2 2 2 2 2 2 21 17 2 25 25 2 25 25 25 2 2 25 41 2 25 25 2 25 25 25 41 2 2 25 0 25 2 25 4 2 37 25 25 25 2 25 25 25 25 25 2 25 25 2 27 2 25 41 25 12 25 25 25 25 25 2 25 25 25 2 2 2 2 25 25 25 25 25 25 2 25 25 25 25 25 2 2 25 25 2 26 25 25 25 25 25 25 25 25 25 26 25 25 25 25 25 2 25 2 25 25 25 31 25 25 23 25 25 25 25 25 25 25 26 25 25 27 25 25 25 23 25 25 25 25 25 23 25 26 25 25 23 25 25 23 26 25 25 25 25 26 25 25 25 23 27 25 27 23 27 25 25 25 27 25 25 25 25 23 25 27 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 26 25 23 25 25 25 25 25 25 23 25 25 25 23 42 25 25 25 25 25 25 25 25 26 25 25 0 17 0 3 17 17 0 39 21 39 0 3 3 3 21 3 22 3 17 17 3 17 0 0 0 17 0 21 3 17 3 17 3 0 3 0 0 3 3 3 17 3 3 17 17 3 17 0 3 0 3 17 3 3 17 3 17 3 3 17 0 3 3 17 3 0 3 17 17 0 22 0 0 0 17 17 0 3 17 3 0 21 17 39 17 3 0 0 0 17 0 17 0 17 0 0 0 17 3 3 27 25 0 12 13 12 12 12 38 23 1 25 38 12 0 3 3 38 23 0 23 12 12 25 0 12 1 0 12 25 12 13 23 3 13 12 1 3 0 0 3 12 25 38 38 38 3 0 13 12 25 12 12 38 12 38 25 13 25 13 38 24 38 25 3 13 12 38 23 12 12 3 3 24 12 28 38 12 1 9 23 12 25 1 0 25 12 25 12 9 23 12 0 0 12 12 1 25 0 12"
0.6558,0.8889,"2 40 29 13 9 28 28 9 28 13 28 3 28 40 28 28 13 9 9 40 40 28 28 28 28 9 28 1 9 13 40 28 40 28 9 1 28 1 28 40 40 28 9 9 1 0 28 28 28 40 40 28 29 0 28 0 29 40 28 3 29 38 28 28 40 28 40 29 1 28 28 28 40 38 28 38 28 9 1 1 40 40 28 9 0 40 28 28 28 28 9 1 0 29 28 38 30 9 40 3 26 12 12 25 25 27 25 25 6 25 25 25 25 25 12 25 25 25 25 12 12 25 25 25 12 28 25 25 25 25 25 27 26 25 25 25 22 12 12 25 25 25 12 12 12 28 27 25 12 25 25 22 28 25 26 25 25 12 25 25 25 25 25 25 12 12 25 25 25 25 25 25 25 25 25 12 31 25 25 31 25 25 25 25 26 12 12 26 25 25 25 25 25 12 25 25 25 27 12 26 28 28 31 30 2 28 2 28 31 33 28 28 2 28 28 28 2 30 29 30 2 2 28 31 28 28 31 28 28 28 28 28 28 29 31 30 28 31 28 31 28 28 28 28 28 28 33 31 28 28 28 28 28 2 31 31 28 28 28 28 31 28 28 31 31 28 28 28 28 31 28 31 29 28 28 28 28 28 28 28 28 28 28 28 28 2 2 28 2 30 30 28 31 31 28 28 28 31 31 28 1 39 7 9 37 7 6 7 39 7 7 2 7 2 7 37 9 9 11 7 7 39 2 37 7 5 7 4 4 7 5 7 7 2 5 8 7 39 7 7 37 7 7 5 5 7 7 39 7 6 7 8 7 7 7 39 7 8 9 12 39 7 4 7 9 7 2 39 7 7 9 7 7 9 7 39 12 7 2 39 39 39 39 7 8 7 6 6 39 7 37 7 7 6 9 7 37 9 7 7 28 28 7 28 28 28 28 28 7 28 28 28 28 7 28 28 28 29 28 30 28 28 28 7 28 28 7 28 3 13 28 28 28 7 28 7 28 28 28 28 28 7 28 37 12 23 28 28 7 28 30 29 28 7 28 38 28 28 28 28 28 30 38 28 13 28 30 28 12 28 28 0 29 28 28 28 28 28 28 7 28 8 28 28 28 28 28 28 28 13 28 7 7 28 28 28 28 7 28 13"
0.5234,0.8000,"23 23 23 23 24 23 23 23 23 23 23 23 12 12 23 12 38 23 23 23 23 17 23 38 23 38 24 23 12 23 23 23 23 23 23 1 23 23 23 23 23 12 23 23 0 23 9 23 23 23 23 12 9 23 23 23 0 23 23 24 23 23 23 23 23 23 23 23 12 12 23 23 23 23 23 23 23 24 23 9 23 23 23 23 23 24 12 23 12 23 17 23 23 23 23 23 23 23 12 12 25 2 2 2 1 2 2 31 2 25 2 2 2 31 2 2 2 37 2 32 2 2 2 31 2 13 2 2 2 2 2 31 0 25 6 2 2 2 1 6 31 2 2 2 2 31 25 2 31 2 13 2 25 31 37 25 2 31 2 0 33 2 2 2 2 31 2 2 2 2 2 4 2 26 2 2 25 2 21 2 2 2 5 31 2 19 2 5 31 2 37 2 2 2 2 38 2 2 31 2 19 19 19 19 14 19 19 19 19 20 20 19 37 19 19 19 42 19 19 19 19 42 19 19 19 19 19 20 19 19 19 42 19 19 19 19 19 19 19 19 19 42 19 19 4 19 19 19 19 19 19 20 19 19 19 42 42 27 20 19 42 19 4 19 19 42 19 19 42 42 19 19 19 42 42 19 42 19 19 19 19 19 42 19 19 19 19 19 15 19 19 19 19 19 19 19 19 19 19 19 19 19 19 11 19 19 21 19 2 19 20 19 2 19 20 20 19 19 19 2 19 19 20 19 19 19 19 19 2 20 10 19 19 2 12 19 10 19 19 19 19 19 19 19 19 2 19 19 2 19 2 19 12 19 19 19 19 19 12 19 19 19 19 19 2 19 19 19 19 19 2 19 19 20 19 19 19 19 19 19 19 19 19 10 19 19 19 2 19 19 19 12 19 21 2 19 19 19 19 19 41 41 41 0 41 41 41 13 41 41 3 41 41 41 41 41 41 0 12 12 41 2 1 41 17 41 0 12 41 41 41 41 41 41 12 41 41 41 3 41 41 41 13 41 41 41 41 41 41 41 41 12 41 12 41 41 14 12 41 41 41 30 3 41 38 28 3 41 41 41 0 12 41 41 12 41 41 41 41 41 41 41 41 41 12 41 12 41 0 41 13 12 41 12 1 41 41 28 38 3"
0.2750,0.8462,"10 19 33 39 9 35 38 39 16 24 12 9 42 37 12 8 15 37 18 18 37 11 26 39 28 22 9 36 37 39 17 9 12 0 21 29 6 26 13 3 12 21 2 41 37 29 34 32 21 42 34 0 32 37 33 19 9 19 31 13 3 31 24 34 41 12 15 24 39 42 6 36 2 32 38 1 24 12 30 37 11 21 5 23 41 42 3 4 10 35 36 20 23 24 1 7 38 26 28 11 34 7 38 37 4 37 14 2 2 21 0 20 38 17 9 20 18 19 42 2 8 29 25 10 3 1 35 14 29 26 22 42 11 1 4 18 33 38 42 6 29 37 35 30 40 30 41 11 5 11 20 11 22 11 12 6 40 28 27 24 15 15 36 11 41 37 17 7 9 31 35 6 32 26 4 0 36 14 21 28 0 19 4 1 17 19 23 39 2 34 39 9 13 1 17 7 40 7 25 24 5 19 42 39 18 9 32 1 13 24 26 0 42 27 2 15 21 42 2 12 22 35 19 31 39 15 2 29 18 38 25 15 14 29 13 1 1 8 24 35 16 32 4 34 23 2 15 15 32 34 24 32 0 35 13 21 35 7 27 31 4 23 38 23 24 23 8 41 15 24 37 42 20 14 13 17 32 22 14 21 12 27 7 11 27 14 37 40 23 33 37 28 35 26 31 41 29 2 2 11 19 10 12 11 18 12 22 21 36 23 5 2 9 38 40 20 20 6 41 17 5 26 40 21 6 39 13 10 7 26 0 15 33 38 25 4 21 3 22 41 39 27 19 17 31 1 41 7 2 39 42 7 36 0 9 6 0 2 10 6 4 4 9 2 39 28 8 39 31 5 36 36 6 14 1 20 15 37 27 7 22 14 6 41 3 5 6 41 0 12 2 13 41 25 30 27 3 12 16 29 21 32 16 17 36 2 0 7 13 1 25 23 13 35 33 3 17 27 17 3 20 39 6 42 17 30 40 39 41 0 14 15 27 17 42 23 21 4 18 41 6 13 36 4 32 38 9 17 16 3 9 40 22 38 8 37 32 17 25 39 28 31 20 2 19 40 33 42 22 1 4 29 9 7 33 20 8 3 25 19 26 38 36 34 10 23 40 5 9 25 41 16 24 21 0 30 41 30 22 18"
